"","meanNDVI","date"
"NDVI_20120102_clip_20161215070702_1284399438",0.644206712158303,2012-01-02
"NDVI_20120103_clip_20161215070706_406848712",0.711263762548413,2012-01-03
"NDVI_20120104_clip_20161215070709_1662125631",0.643679493970843,2012-01-04
"NDVI_20120105_clip_20161215070713_909405617",0.716186225249426,2012-01-05
"NDVI_20120106_clip_20161215070717_283091717",0.662063924421612,2012-01-06
"NDVI_20120107_clip_20161215070720_1641771929",0.678647349960662,2012-01-07
"NDVI_20120108_clip_20161215070724_1649496669",0.653427388389289,2012-01-08
"NDVI_20120109_clip_20161215070728_345592856",0.669883805123608,2012-01-09
"NDVI_20120110_clip_20161215070731_1749042506",0.681060956076644,2012-01-10
"NDVI_20120111_clip_20161215070735_395437940",0.591129444289462,2012-01-11
"NDVI_20120112_clip_20161215070739_604525656",0.734243844270844,2012-01-12
"NDVI_20120113_clip_20161215070742_1169016250",0.666412001266327,2012-01-13
"NDVI_20120114_clip_20161215070746_20268017",0.61841282876693,2012-01-14
"NDVI_20120115_clip_20161215070750_1732337461",0.565488899267474,2012-01-15
"NDVI_20120116_clip_20161215070753_943092231",0.659816696078462,2012-01-16
"NDVI_20120117_clip_20161215070757_1556790874",0.681318735052487,2012-01-17
"NDVI_20120118_clip_20161215070801_330125220",0.661076875038247,2012-01-18
"NDVI_20120119_clip_20161215070804_836734728",0.519686427422868,2012-01-19
"NDVI_20120120_clip_20161215070808_1275877419",0.512745139217573,2012-01-20
"NDVI_20120121_clip_20161215070811_1031024541",0.649402710505067,2012-01-21
"NDVI_20120122_clip_20161215070814_599868666",0.543938803178245,2012-01-22
"NDVI_20120123_clip_20161215070818_46128876",0.578768820518541,2012-01-23
"NDVI_20120124_clip_20161215070821_1104881513",0.500360533318347,2012-01-24
"NDVI_20120125_clip_20161215070825_1894336484",0.679365013282967,2012-01-25
"NDVI_20120126_clip_20161215070828_1745038847",0.71471957327554,2012-01-26
"NDVI_20120127_clip_20161215070832_27781584",0.49742252880754,2012-01-27
"NDVI_20120128_clip_20161215070836_837896490",0.655121220861522,2012-01-28
"NDVI_20120129_clip_20161215070839_223492040",0.603288311867424,2012-01-29
"NDVI_20120130_clip_20161215070843_356641803",0.525994364219375,2012-01-30
"NDVI_20120131_clip_20161215070847_1355599108",0.690288966972069,2012-01-31
"NDVI_20120201_clip_20161215070850_399379411",0.693763940835656,2012-02-01
"NDVI_20120202_clip_20161215070854_1350177470",0.516129240548783,2012-02-02
"NDVI_20120203_clip_20161215070858_74062339",0.699502245849175,2012-02-03
"NDVI_20120204_clip_20161215070901_31303612",0.772943592465151,2012-02-04
"NDVI_20120205_clip_20161215070905_390310481",0.706052226572173,2012-02-05
"NDVI_20120206_clip_20161215070909_1964556556",0.511611149943736,2012-02-06
"NDVI_20120207_clip_20161215070912_1152330218",0.494447891954748,2012-02-07
"NDVI_20120208_clip_20161215070916_1167567051",0.724499283773152,2012-02-08
"NDVI_20120209_clip_20161215070919_761016635",0.729095297351685,2012-02-09
"NDVI_20120210_clip_20161215070923_696574948",0.710522297066448,2012-02-10
"NDVI_20120211_clip_20161215070927_535364651",0.495118642635121,2012-02-11
"NDVI_20120212_clip_20161215070930_817033439",0.526110780329438,2012-02-12
"NDVI_20120213_clip_20161215070934_1128775468",0.672195377072026,2012-02-13
"NDVI_20120214_clip_20161215070937_1106021420",0.631825389864997,2012-02-14
"NDVI_20120215_clip_20161215070941_142172450",0.583494693429464,2012-02-15
"NDVI_20120216_clip_20161215070944_947580786",0.736643920848313,2012-02-16
"NDVI_20120217_clip_20161215070948_173418863",0.720247891632326,2012-02-17
"NDVI_20120218_clip_20161215070951_492528940",0.702870612131033,2012-02-18
"NDVI_20120219_clip_20161215070955_1743715172",0.630443183526577,2012-02-19
"NDVI_20120220_clip_20161215070959_396850120",0.793084101017763,2012-02-20
"NDVI_20120221_clip_20161215071002_2144900497",0.646376832490683,2012-02-21
"NDVI_20120222_clip_20161215071006_1560457841",0.749371632401664,2012-02-22
"NDVI_20120223_clip_20161215071009_2040551663",0.730606865120536,2012-02-23
"NDVI_20120224_clip_20161215071013_159983850",0.736195001770977,2012-02-24
"NDVI_20120225_clip_20161215071016_1718115413",0.739286468797899,2012-02-25
"NDVI_20120226_clip_20161215071020_338591477",0.720624261440039,2012-02-26
"NDVI_20120227_clip_20161215071024_518620386",0.57615260480536,2012-02-27
"NDVI_20120228_clip_20161215071027_661068918",0.649845852438338,2012-02-28
