"","meanNDVI","date"
"NDVI_20120102_clip_20161215063543_2133801260",0.493720940450599,2012-01-02
"NDVI_20120103_clip_20161215063544_666463259",0.685198656114397,2012-01-03
"NDVI_20120104_clip_20161215063545_1465170020",0.653439729600038,2012-01-04
"NDVI_20120105_clip_20161215063545_445483425",0.681837992572391,2012-01-05
"NDVI_20120106_clip_20161215063546_1127221055",0.656191568525744,2012-01-06
"NDVI_20120107_clip_20161215063547_1654106870",0.643049399043576,2012-01-07
"NDVI_20120108_clip_20161215063548_1168023120",0.579162263197825,2012-01-08
"NDVI_20120109_clip_20161215063548_76119161",0.64598380766494,2012-01-09
"NDVI_20120110_clip_20161215063549_908364033",0.660729837800074,2012-01-10
"NDVI_20120111_clip_20161215063550_1603450976",0.650788109783862,2012-01-11
"NDVI_20120112_clip_20161215063551_1690973434",0.690467108234998,2012-01-12
"NDVI_20120113_clip_20161215063551_2041518293",0.653391821240184,2012-01-13
"NDVI_20120114_clip_20161215063552_1455089236",0.660893925107753,2012-01-14
"NDVI_20120115_clip_20161215063553_505593606",0.624341227681502,2012-01-15
"NDVI_20120116_clip_20161215063554_1035444382",0.652390148073087,2012-01-16
"NDVI_20120117_clip_20161215063554_329749534",0.732596795536981,2012-01-17
"NDVI_20120118_clip_20161215063555_1199518830",0.640853210770801,2012-01-18
"NDVI_20120119_clip_20161215063556_1748278517",0.49146404557208,2012-01-19
"NDVI_20120120_clip_20161215063557_1798156044",0.488231672194967,2012-01-20
"NDVI_20120121_clip_20161215063557_848614625",0.657543893755384,2012-01-21
"NDVI_20120122_clip_20161215063558_722944071",0.481663549840205,2012-01-22
"NDVI_20120123_clip_20161215063559_684516037",0.492779186037434,2012-01-23
"NDVI_20120124_clip_20161215063559_1301194939",0.575069421803069,2012-01-24
"NDVI_20120125_clip_20161215063600_1168433374",0.623935603568077,2012-01-25
"NDVI_20120126_clip_20161215063601_1286263001",0.513492568710701,2012-01-26
"NDVI_20120127_clip_20161215063602_248231594",0.669561281136873,2012-01-27
"NDVI_20120128_clip_20161215063602_891757071",0.692045667111826,2012-01-28
"NDVI_20120129_clip_20161215063603_1913413074",0.644918256684705,2012-01-29
"NDVI_20120130_clip_20161215063604_1347181177",0.603175400619632,2012-01-30
"NDVI_20120131_clip_20161215063605_795346140",0.504736928290335,2012-01-31
"NDVI_20120201_clip_20161215063605_2096646625",0.52914129457065,2012-02-01
"NDVI_20120202_clip_20161215063606_1872036285",0.754358764612443,2012-02-02
"NDVI_20120203_clip_20161215063607_1714523117",0.627895251090304,2012-02-03
"NDVI_20120204_clip_20161215063608_136855597",0.71785617537784,2012-02-04
"NDVI_20120205_clip_20161215063608_1409612484",0.678273524277928,2012-02-05
"NDVI_20120206_clip_20161215063609_2141286832",0.51414768395019,2012-02-06
"NDVI_20120207_clip_20161215063610_115951205",0.490292083027,2012-02-07
"NDVI_20120208_clip_20161215063610_1932151999",0.690298436279767,2012-02-08
"NDVI_20120209_clip_20161215063611_1060198838",0.714775250180035,2012-02-09
"NDVI_20120210_clip_20161215063612_1857592214",0.643185072568507,2012-02-10
"NDVI_20120211_clip_20161215063613_1265126115",0.508955454178075,2012-02-11
"NDVI_20120212_clip_20161215063613_31074078",0.68817089200889,2012-02-12
"NDVI_20120213_clip_20161215063614_421591524",0.500460149972945,2012-02-13
"NDVI_20120214_clip_20161215063615_159702668",0.712777815615311,2012-02-14
"NDVI_20120215_clip_20161215063616_471270605",0.711267709584184,2012-02-15
"NDVI_20120216_clip_20161215063616_6056280",0.702640838277174,2012-02-16
"NDVI_20120217_clip_20161215063617_1009475961",0.696063236272723,2012-02-17
"NDVI_20120218_clip_20161215063618_1589455945",0.526205052786812,2012-02-18
"NDVI_20120219_clip_20161215063619_1239361021",0.620542310548549,2012-02-19
"NDVI_20120220_clip_20161215063619_1541097041",0.535549168349718,2012-02-20
"NDVI_20120221_clip_20161215063620_264109559",0.620220072877679,2012-02-21
"NDVI_20120222_clip_20161215063621_1259217877",0.623809401726445,2012-02-22
"NDVI_20120223_clip_20161215063622_45559392",0.703210127706423,2012-02-23
"NDVI_20120224_clip_20161215063622_1278611474",0.707745279796475,2012-02-24
"NDVI_20120225_clip_20161215063623_1223690469",0.728953922257421,2012-02-25
"NDVI_20120226_clip_20161215063624_1475872211",0.690372931621304,2012-02-26
"NDVI_20120227_clip_20161215063624_16679094",0.714525060215867,2012-02-27
"NDVI_20120228_clip_20161215063625_1797505464",0.668786546849153,2012-02-28
"NDVI_20120302_clip_20161215063626_694708818",0.727807574475703,2012-03-02
"NDVI_20120303_clip_20161215063627_1238098393",0.733249964155051,2012-03-03
"NDVI_20120304_clip_20161215063627_308776736",0.713830763675657,2012-03-04
"NDVI_20120305_clip_20161215063628_1754275026",0.771196233764137,2012-03-05
"NDVI_20120306_clip_20161215063629_1864652163",0.686474607084365,2012-03-06
"NDVI_20120307_clip_20161215063630_1927377345",0.746341808279031,2012-03-07
"NDVI_20120308_clip_20161215063630_1462372251",0.715635743503648,2012-03-08
"NDVI_20120309_clip_20161215063631_1692530478",0.728783610196176,2012-03-09
"NDVI_20120310_clip_20161215063632_429469936",0.620434137810485,2012-03-10
"NDVI_20120311_clip_20161215063633_457501964",0.582767820463982,2012-03-11
"NDVI_20120312_clip_20161215063633_1171663001",0.716107528877932,2012-03-12
"NDVI_20120313_clip_20161215063634_570941873",0.492480933983402,2012-03-13
"NDVI_20120314_clip_20161215063635_1210828763",0.496588536332276,2012-03-14
"NDVI_20120315_clip_20161215063636_2125437716",0.5163490667533,2012-03-15
"NDVI_20120316_clip_20161215063636_1610851688",0.491908623306234,2012-03-16
"NDVI_20120317_clip_20161215063637_1460577951",0.493515581913498,2012-03-17
"NDVI_20120318_clip_20161215063638_111534117",0.591411679583209,2012-03-18
"NDVI_20120319_clip_20161215063639_1962418114",0.691550959345484,2012-03-19
"NDVI_20120320_clip_20161215063639_1435508888",0.663512933801222,2012-03-20
"NDVI_20120321_clip_20161215063640_853455727",0.791577744866317,2012-03-21
"NDVI_20120322_clip_20161215063641_1084932742",0.5568546633868,2012-03-22
"NDVI_20120323_clip_20161215063641_149116171",0.765078206728802,2012-03-23
"NDVI_20120324_clip_20161215063642_1912526785",0.511974716125704,2012-03-24
"NDVI_20120325_clip_20161215063643_1686233614",0.596037622151932,2012-03-25
"NDVI_20120326_clip_20161215063644_1583219272",0.676856273367413,2012-03-26
"NDVI_20120327_clip_20161215063644_1530469155",0.500074883787699,2012-03-27
"NDVI_20120328_clip_20161215063645_467966904",0.569148466453401,2012-03-28
"NDVI_20120329_clip_20161215063646_781426877",0.657515738327819,2012-03-29
"NDVI_20120330_clip_20161215063647_1290246860",0.667431615975928,2012-03-30
"NDVI_20120331_clip_20161215063647_1901725625",0.49091616048386,2012-03-31
"NDVI_20120401_clip_20161215063812_146164174",0.763333778658372,2012-04-01
