"","meanNDVI","date"
"NDVI_20120102_clip_20161215064442_422783804",0.499459519631595,2012-01-02
"NDVI_20120103_clip_20161215064443_686624796",0.646422083685325,2012-01-03
"NDVI_20120104_clip_20161215064444_1926000463",0.675692959519573,2012-01-04
"NDVI_20120105_clip_20161215064445_1210650216",0.707339474760597,2012-01-05
"NDVI_20120106_clip_20161215064446_2030634786",0.684319049123188,2012-01-06
"NDVI_20120107_clip_20161215064446_438420183",0.679728123106151,2012-01-07
"NDVI_20120108_clip_20161215064447_1607705521",0.587970053224402,2012-01-08
"NDVI_20120109_clip_20161215064448_648161098",0.674042598356715,2012-01-09
"NDVI_20120110_clip_20161215064449_1375189450",0.612184216346975,2012-01-10
"NDVI_20120111_clip_20161215064449_479246990",0.678100669485652,2012-01-11
"NDVI_20120112_clip_20161215064450_877330499",0.716166259888104,2012-01-12
"NDVI_20120113_clip_20161215064451_23270419",0.679019007406008,2012-01-13
"NDVI_20120114_clip_20161215064452_679088191",0.688110883704262,2012-01-14
"NDVI_20120115_clip_20161215064452_1805390891",0.619121383758094,2012-01-15
"NDVI_20120116_clip_20161215064453_879374120",0.681159717239478,2012-01-16
"NDVI_20120117_clip_20161215064454_1174159315",0.758043446436641,2012-01-17
"NDVI_20120118_clip_20161215064455_181086336",0.669516067986531,2012-01-18
"NDVI_20120119_clip_20161215064455_1125964804",0.493193236233828,2012-01-19
"NDVI_20120120_clip_20161215064456_1799837185",0.487959020349317,2012-01-20
"NDVI_20120121_clip_20161215064457_1595264593",0.587328319010528,2012-01-21
"NDVI_20120122_clip_20161215064457_432098360",0.49417019978433,2012-01-22
"NDVI_20120123_clip_20161215064458_1333692534",0.508024062142837,2012-01-23
"NDVI_20120124_clip_20161215064459_1014453843",0.629935016392892,2012-01-24
"NDVI_20120125_clip_20161215064500_224960956",0.679658382366079,2012-01-25
"NDVI_20120126_clip_20161215064500_1080960588",0.588836492309848,2012-01-26
"NDVI_20120127_clip_20161215064501_1377889006",0.625299802460626,2012-01-27
"NDVI_20120128_clip_20161215064502_1277784518",0.728775334787368,2012-01-28
"NDVI_20120129_clip_20161215064503_1587093671",0.626970271355111,2012-01-29
"NDVI_20120130_clip_20161215064503_46709042",0.634421967620443,2012-01-30
"NDVI_20120131_clip_20161215064504_1530613998",0.517063191982767,2012-01-31
"NDVI_20120201_clip_20161215064505_515856054",0.65871706643129,2012-02-01
"NDVI_20120202_clip_20161215064506_1456817600",0.714024913734013,2012-02-02
"NDVI_20120203_clip_20161215064506_1245654626",0.621442935912078,2012-02-03
"NDVI_20120204_clip_20161215064507_1214730398",0.752054615653436,2012-02-04
"NDVI_20120205_clip_20161215064508_2012283354",0.708381386145569,2012-02-05
"NDVI_20120206_clip_20161215064509_429497453",0.528567487019696,2012-02-06
"NDVI_20120207_clip_20161215064509_175222375",0.490457863230264,2012-02-07
"NDVI_20120208_clip_20161215064510_1481819271",0.72735939414132,2012-02-08
"NDVI_20120209_clip_20161215064511_352800317",0.741013489391192,2012-02-09
"NDVI_20120210_clip_20161215064512_120770760",0.712740436928282,2012-02-10
"NDVI_20120211_clip_20161215064512_1226958056",0.503431549845412,2012-02-11
"NDVI_20120212_clip_20161215064513_92391750",0.720309597980267,2012-02-12
"NDVI_20120213_clip_20161215064514_1677009097",0.49528559284835,2012-02-13
"NDVI_20120214_clip_20161215064515_648947383",0.715575499823485,2012-02-14
"NDVI_20120215_clip_20161215064515_2044896410",0.748461694898516,2012-02-15
"NDVI_20120216_clip_20161215064516_389937075",0.741850450909519,2012-02-16
"NDVI_20120217_clip_20161215064517_280487910",0.728738555455469,2012-02-17
"NDVI_20120218_clip_20161215064517_1235878347",0.62308527943511,2012-02-18
"NDVI_20120219_clip_20161215064518_234906250",0.624142589779113,2012-02-19
"NDVI_20120220_clip_20161215064519_548639589",0.631447168716849,2012-02-20
"NDVI_20120221_clip_20161215064520_1520930094",0.625547076653982,2012-02-21
"NDVI_20120222_clip_20161215064520_1808118808",0.652711731232423,2012-02-22
"NDVI_20120223_clip_20161215064521_225124024",0.722601879385681,2012-02-23
"NDVI_20120224_clip_20161215064522_1641243542",0.734603013563556,2012-02-24
"NDVI_20120225_clip_20161215064523_974066542",0.744227872014034,2012-02-25
"NDVI_20120226_clip_20161215064523_1591364234",0.723589576253736,2012-02-26
"NDVI_20120227_clip_20161215064524_1991854626",0.629548072670192,2012-02-27
"NDVI_20120228_clip_20161215064525_1461504950",0.715165200287006,2012-02-28
"NDVI_20120302_clip_20161215064526_8657242",0.751896299082909,2012-03-02
"NDVI_20120303_clip_20161215064526_1397724886",0.749014784782367,2012-03-03
"NDVI_20120304_clip_20161215064527_135467301",0.737422295707356,2012-03-04
"NDVI_20120305_clip_20161215064528_516585382",0.791263037891366,2012-03-05
"NDVI_20120306_clip_20161215064529_1953627433",0.697371316342676,2012-03-06
"NDVI_20120307_clip_20161215064529_786210875",0.770967082625215,2012-03-07
"NDVI_20120308_clip_20161215064530_1426387109",0.73962892835717,2012-03-08
"NDVI_20120309_clip_20161215064531_571332819",0.756973628582708,2012-03-09
"NDVI_20120310_clip_20161215064532_701120749",0.685264778347069,2012-03-10
"NDVI_20120311_clip_20161215064532_1258350451",0.675769445258228,2012-03-11
"NDVI_20120312_clip_20161215064533_1847995374",0.678595599664735,2012-03-12
"NDVI_20120313_clip_20161215064534_559167571",0.492358812457254,2012-03-13
"NDVI_20120314_clip_20161215064535_1441707100",0.497661394453371,2012-03-14
"NDVI_20120315_clip_20161215064535_1553881887",0.626070004940393,2012-03-15
"NDVI_20120316_clip_20161215064536_982718039",0.494158449434273,2012-03-16
"NDVI_20120317_clip_20161215064537_1898377188",0.48884490481973,2012-03-17
"NDVI_20120318_clip_20161215064538_1044609878",0.519455159676663,2012-03-18
"NDVI_20120319_clip_20161215064538_1519866896",0.701728781316201,2012-03-19
"NDVI_20120320_clip_20161215064539_1705576253",0.746640290752709,2012-03-20
"NDVI_20120321_clip_20161215064540_471016263",0.826821397782601,2012-03-21
"NDVI_20120322_clip_20161215064541_1150866933",0.663899902184794,2012-03-22
"NDVI_20120323_clip_20161215064541_151401452",0.804376969571402,2012-03-23
"NDVI_20120324_clip_20161215064542_184210841",0.702428352207027,2012-03-24
"NDVI_20120325_clip_20161215064543_1179655145",0.612230771879747,2012-03-25
"NDVI_20120326_clip_20161215064544_641275311",0.660498402188112,2012-03-26
"NDVI_20120327_clip_20161215064544_739724642",0.518768022190791,2012-03-27
